CID,gender,Senior_Citizen,Marrital_Status,No_Dependent,MonthSinceJoining,Service_Phone,Morethan1Connection,Internet_Service,Security_Deposit,Device_Insurance,TechnicalSupport,LiveTVService,MovieAccount,TypeOfContract,Ebill,MethodOfPayment,AverageMonthlyCharge,TotalChargesTillDate,Churn
74036_5,male,0,No,1,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108,7854,No
73165_8,male,0,Yes,3,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Electronic check,101,4707,No
79253_9,male,0,No,3,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,monthly,Yes,Bank transfer (automatic),90,5451,No
81215_5,female,0,Yes,1,49,No,No phone service,DSL,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42,2962,No
81522_9,m,0,Yes,2,35,Yes,No,DSL,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54,957,No
75374_6,m,0,No,3,44,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,No,Electronic check,94,857,Yes
71946_10,male,0,No,2,5,Yes,No,DSL,No,No,Yes,Yes,Yes,monthly,Yes,Electronic check,75,244,No
80072_8,female,0,Yes,3,5,Yes,Yes,Fiber optic,No,No,No,No,No,One year,Yes,Electronic check,79,3650,No
75816_9,male,0,No,3,1,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79,2497,No
72164_10,m,0,Yes,3,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20,931,No
77011_6,m,0,No,2,32,Yes,No,Fiber optic,Yes,Yes,No,No,No,monthly,Yes,Mailed check,80,887,No
73761_10,f,0,No,1,35,Yes,No,DSL,No,No,Yes,No,No,monthly,No,Mailed check,49,49,No
81631_7,female,0,Yes,2,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20,1091,No
81055_2,m,1,Yes,1,11,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),112,7099,No
75944_2,f,0,Yes,0,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24,1425,No
81234_8,f,0,No,2,40,Yes,No,DSL,Yes,No,Yes,No,Yes,monthly,Yes,Bank transfer (automatic),65,177,No
81329_7,f,1,No,3,35,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,111,6140,No
80192_10,female,0,No,1,5,Yes,No,DSL,No,No,No,No,Yes,One year,No,Credit card (automatic),56,2689,No
76493_5,male,0,Yes,2,3,Yes,No,DSL,Yes,No,No,No,No,monthly,No,Mailed check,55,482,No
80040_10,male,1,No,1,16,Yes,No,DSL,Yes,No,No,Yes,Yes,monthly,Yes,Electronic check,75,2111,No
79985_4,male,0,Yes,0,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26,1217,No
80673_2,male,0,No,1,10,Yes,No,Fiber optic,No,No,No,Yes,No,monthly,Yes,Electronic check,79,79,Yes
70276_7,m,0,Yes,2,15,No,No phone service,DSL,Yes,No,No,Yes,Yes,monthly,No,Electronic check,51,565,No
71618_3,f,0,Yes,3,6,Yes,No,Fiber optic,No,Yes,No,No,No,monthly,Yes,Bank transfer (automatic),75,497,Yes
72730_9,female,0,No,2,12,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,monthly,Yes,Bank transfer (automatic),104,4328,No
83105_5,male,0,Yes,2,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20,973,No
72454_9,female,0,No,1,45,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Credit card (automatic),99,919,No
71243_1,m,0,Yes,1,49,Yes,No,DSL,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62,2215,No
78458_9,male,0,Yes,3,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21,1057,No
71501_9,female,0,Yes,1,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20,927,No
78281_10,female,0,Yes,2,13,No,No phone service,DSL,No,No,No,Yes,No,monthly,No,Mailed check,34,1009,No
73684_8,m,0,Yes,2,31,Yes,No,Fiber optic,No,Yes,No,No,No,monthly,No,Bank transfer (automatic),82,2570,No
72922_4,f,1,No,3,31,Yes,No,Fiber optic,No,No,Yes,No,No,monthly,No,Electronic check,75,75,No
81062_10,female,0,Yes,1,45,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84,5714,No
78978_10,f,0,No,2,23,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,monthly,Yes,Credit card (automatic),111,7107,No
77925_6,male,0,No,2,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101,7459,No
70632_3,f,0,No,2,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,monthly,Yes,Electronic check,79,927,Yes
71245_9,m,0,Yes,1,2,Yes,Yes,DSL,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),67,4749,No
74281_2,female,0,No,0,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,21,114,Yes
74137_9,m,0,No,2,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21,1107,No
82391_9,m,1,Yes,2,32,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Electronic check,99,2515,Yes
74000_4,f,0,No,1,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,20,No
76959_3,f,0,Yes,0,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Electronic check,19,19,No
72957_4,m,0,No,0,2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95,3606,No
76462_2,female,1,Yes,0,1,No,No phone service,DSL,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),46,3027,No
79363_4,male,0,Yes,3,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110,7612,Yes
77067_5,m,0,No,3,4,No,No phone service,DSL,No,No,No,No,No,monthly,No,Mailed check,24,100,No
83142_2,male,0,Yes,2,26,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104,7303,No
81873_4,female,0,No,0,5,No,No phone service,DSL,Yes,No,No,No,No,One year,No,Mailed check,30,928,No
79525_8,male,0,No,2,44,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,One year,No,Mailed check,94,3921,No
71681_5,f,0,Yes,0,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19,1363,No
77076_6,f,0,Yes,3,43,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,monthly,Yes,Electronic check,97,5239,Yes
70396_10,female,0,No,2,15,Yes,No,DSL,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),58,3042,No
78850_4,m,0,No,2,40,Yes,No,Fiber optic,No,Yes,No,Yes,No,monthly,Yes,Electronic check,92,3954,No
81795_10,f,1,Yes,2,5,Yes,Yes,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,77,2868,Yes
72101_9,female,0,Yes,3,19,No,No phone service,DSL,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,55,3424,No
76344_4,f,0,Yes,1,21,Yes,No,Fiber optic,Yes,No,No,Yes,No,monthly,No,Electronic check,90,248,No
82211_2,m,0,No,3,17,No,No phone service,DSL,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),31,1126,No
79823_1,male,0,Yes,0,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,monthly,Yes,Electronic check,100,1065,Yes
72390_7,f,0,No,3,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21,835,No
73361_5,f,0,Yes,3,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,monthly,Yes,Credit card (automatic),85,2152,No
80577_3,female,0,Yes,2,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100,5515,No
73654_1,f,0,No,2,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,21,113,No
81745_8,m,0,No,3,28,Yes,Yes,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,74,230,Yes
76544_4,m,0,Yes,0,46,Yes,No,DSL,Yes,No,No,No,No,monthly,No,Mailed check,51,350,No
73508_10,female,0,Yes,0,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,21,63,No
74923_5,f,0,No,1,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,89,3028,No
81740_9,female,1,No,1,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,monthly,Yes,Electronic check,78,2136,Yes
71563_10,m,0,Yes,3,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24,1724,No
75267_5,m,0,No,2,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,20,No
80097_1,female,1,No,1,21,No,No phone service,DSL,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56,3985,No
81129_4,male,0,No,2,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,monthly,Yes,Electronic check,86,1216,No
82554_7,f,0,Yes,0,26,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,monthly,Yes,Credit card (automatic),59,1503,Yes
76967_5,f,0,No,2,18,Yes,No,DSL,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),51,3260,No
70210_9,male,0,No,1,32,No,No phone service,DSL,No,No,No,No,Yes,monthly,Yes,Electronic check,35,35,Yes
80098_8,f,0,No,2,16,Yes,No,DSL,No,No,No,No,No,monthly,No,Electronic check,44,81,Yes
70535_6,male,0,No,1,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),26,1188,No
72182_7,m,0,No,1,7,Yes,No,Fiber optic,Yes,No,No,No,No,monthly,Yes,Bank transfer (automatic),75,1779,No
78608_1,female,0,Yes,2,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20,1278,No
77520_3,female,0,No,1,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20,1171,No
81230_10,male,1,Yes,0,45,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Mailed check,70,70,Yes
81120_8,male,1,Yes,0,22,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88,6426,No
71386_1,f,0,No,3,43,Yes,Yes,DSL,Yes,No,Yes,No,Yes,monthly,No,Electronic check,71,564,Yes
80539_3,female,0,Yes,0,24,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101,5971,No
75364_8,m,0,No,0,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84,5289,No
81267_5,m,1,Yes,0,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24,1756,No
80602_9,f,0,Yes,0,25,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99,6417,No
80484_5,f,0,No,1,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20,61,No
76145_3,m,0,No,0,27,Yes,No,DSL,No,No,No,No,No,monthly,Yes,Electronic check,46,46,Yes
72953_9,male,0,No,1,19,Yes,No,DSL,No,Yes,No,Yes,No,One year,No,Credit card (automatic),65,1930,No
82501_4,female,0,Yes,3,33,Yes,No,DSL,No,Yes,Yes,No,Yes,monthly,Yes,Mailed check,70,1071,No
81562_4,f,0,Yes,1,2,Yes,No,DSL,No,No,Yes,Yes,Yes,monthly,Yes,Electronic check,69,564,No
76989_1,m,0,No,1,11,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,No,Mailed check,95,656,Yes
78220_10,m,0,Yes,3,15,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108,7931,No
77799_5,f,0,Yes,1,21,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86,5215,No
74963_4,male,0,Yes,3,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,114,No
80225_10,f,0,Yes,0,39,Yes,No,Fiber optic,No,No,No,No,Yes,monthly,Yes,Bank transfer (automatic),81,1153,No
75242_8,f,0,No,0,45,Yes,Yes,Fiber optic,No,No,No,Yes,No,monthly,Yes,Bank transfer (automatic),84,1822,No
78010_3,f,0,Yes,3,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20,420,No
70569_9,f,0,Yes,1,19,Yes,No,DSL,Yes,Yes,No,Yes,No,Two year,No,Mailed check,64,1024,No
72461_7,female,0,No,3,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26,252,No
77603_5,f,0,No,1,36,Yes,No,DSL,Yes,No,No,No,No,monthly,Yes,Electronic check,56,765,No
80371_6,f,0,Yes,3,40,Yes,Yes,Fiber optic,Yes,No,No,No,No,monthly,No,Electronic check,82,1592,Yes
70830_5,male,0,No,2,12,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,70,135,No
78409_3,female,0,No,0,25,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),74,3958,No
72204_3,f,0,Yes,3,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21,234,No
70882_2,m,0,Yes,2,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20,1363,No
70221_8,m,0,No,1,36,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Bank transfer (automatic),71,273,Yes
81983_1,female,0,Yes,3,20,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89,6254,No
70781_4,male,1,Yes,2,21,No,No phone service,DSL,No,Yes,No,No,Yes,monthly,Yes,Electronic check,45,2651,Yes
80854_2,m,0,Yes,3,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Electronic check,20,321,No
74501_6,male,0,Yes,3,45,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),84,3539,No
74490_7,f,0,Yes,2,10,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,monthly,Yes,Electronic check,104,243,Yes
74322_4,female,0,Yes,1,15,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,82,1182,No
78373_7,male,0,Yes,0,29,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),95,5000,Yes
73736_1,f,0,No,3,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21,655,No
77100_6,f,0,Yes,3,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Electronic check,25,780,No
79624_8,male,1,No,3,34,Yes,Yes,Fiber optic,No,No,No,No,No,monthly,Yes,Mailed check,74,1146,Yes
75192_1,f,1,No,2,20,Yes,No,Fiber optic,Yes,No,No,No,No,monthly,No,Bank transfer (automatic),76,504,Yes
71961_6,female,0,Yes,0,48,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Bank transfer (automatic),105,1559,No
79836_8,male,0,Yes,0,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21,1252,No
73683_6,male,0,No,3,18,No,No phone service,DSL,No,No,No,No,No,monthly,No,Bank transfer (automatic),30,30,Yes
72987_3,m,0,No,1,18,Yes,No,DSL,No,No,No,No,No,monthly,No,Mailed check,45,45,No
82061_10,male,0,No,1,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,monthly,No,Bank transfer (automatic),85,663,Yes
80860_9,female,0,Yes,1,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),75,2453,No
72208_9,f,0,No,2,41,Yes,No,Fiber optic,No,Yes,No,No,No,monthly,Yes,Electronic check,79,1112,Yes
72532_9,male,0,Yes,1,3,No,No phone service,DSL,No,No,No,No,No,monthly,Yes,Electronic check,25,25,Yes
80427_2,m,0,No,1,11,Yes,No,DSL,No,No,No,No,No,monthly,Yes,Mailed check,52,1024,No
77887_8,female,0,No,2,12,No,No phone service,DSL,No,No,Yes,No,No,monthly,No,Electronic check,30,82,No
78709_4,male,0,No,0,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20,245,No
71193_10,f,0,Yes,0,19,Yes,Yes,DSL,No,No,No,No,No,monthly,No,Credit card (automatic),57,2379,No
76474_4,f,0,Yes,2,6,Yes,Yes,DSL,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),72,3173,No
71390_3,f,0,Yes,0,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,monthly,Yes,Electronic check,91,531,Yes
72002_8,male,0,Yes,0,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20,1375,No
76012_9,m,0,Yes,0,44,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),110,8129,No
78582_4,female,0,Yes,1,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19,1193,No
75981_7,m,0,Yes,2,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,monthly,Yes,Electronic check,97,1902,No
71145_5,female,0,Yes,2,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24,587,No
76838_8,m,0,No,2,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,monthly,Yes,Electronic check,111,6520,No
75662_4,female,0,Yes,3,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),112,8042,No
70657_1,male,0,No,2,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,21,21,No
81332_10,male,0,Yes,0,41,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102,2681,No
72987_10,male,0,No,2,25,Yes,No,Fiber optic,No,No,Yes,No,No,monthly,Yes,Credit card (automatic),80,1112,No
75998_2,male,0,Yes,3,6,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,106,7406,No
80234_10,male,0,No,1,35,Yes,No,Fiber optic,No,No,No,Yes,No,monthly,Yes,Credit card (automatic),78,1034,No
77273_7,male,0,No,2,46,Yes,No,Fiber optic,No,No,No,No,No,monthly,No,Credit card (automatic),69,2959,No
79091_7,m,0,No,3,23,Yes,No,Fiber optic,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),80,2685,No
