liter_size,state_btl_cost($),btl_price($),bottle_qty
1000,7.50,11.25,12
1000,10.24,15.35,12
1000,4.34,6.51,12
1000,8.93,13.64,24
750,7.54,11.31,12
1000,4.89,7.33,24
750,12.66,18.99,12
1000,11.75,17.62,96
750,8.75,13.12,12
1000,15.54,23.31,48
1000,10.00,14.99,12
1000,3.86,6.04,12
750,6.94,10.91,4
750,20.58,30.87,12
1000,11.34,17.01,36
750,8.98,13.47,48
750,7.70,11.55,12
1000,5.50,8.25,12
1000,15.50,23.25,12
1000,15.25,22.87,12
750,13.00,19.49,12
750,12.75,19.13,24
750,8.67,13.01,12
1000,11.00,16.50,12
1000,11.00,16.50,12
1000,7.62,11.43,12
1750,9.70,14.92,6
750,6.70,10.05,12
750,6.30,9.45,12
1000,7.62,11.43,12
1000,7.62,11.43,12
1000,7.62,11.43,12
750,6.30,9.45,12
750,27.00,40.50,12
1000,6.63,9.94,48
1000,6.14,9.21,12
750,7.45,11.17,24
1000,7.15,10.73,12
1000,18.25,27.37,36
1000,6.67,10.00,12
1000,12.50,18.74,12
1000,17.99,26.99,12
375,2.00,2.99,24
750,17.60,26.40,6
1000,3.97,5.95,60
375,1.90,2.85,24
200,1.17,1.76,48
1750,17.75,26.62,6
1000,9.25,13.87,12
200,3.94,5.91,48
1000,21.77,32.66,18
1000,7.08,10.62,12
1000,4.40,6.59,12
1000,4.30,6.44,12
750,18.09,27.14,6
1000,4.33,6.49,12
1000,14.99,22.48,12
1000,4.25,6.38,12
1000,4.17,6.25,48
1000,7.50,11.25,12
1000,4.05,6.08,12
1000,4.13,6.20,12
1750,7.17,10.76,6
200,1.13,1.70,48
1000,22.50,33.74,12
1000,5.50,8.25,12
1000,7.50,11.25,12
750,3.57,5.35,12
1750,7.60,11.40,6
1000,10.50,15.75,12
1000,9.25,13.87,12
750,6.90,10.35,2
1000,11.92,17.88,12
1000,11.75,17.62,60
375,7.65,11.48,6
750,18.75,28.12,12
750,9.25,13.88,1
1000,3.86,6.04,12
1000,6.14,9.21,12
1750,7.84,11.76,6
1000,11.78,17.67,12
1000,4.34,6.51,24
1000,6.38,9.56,12
750,20.84,31.26,12
200,1.78,2.67,24
1000,14.98,22.47,12
1000,11.00,16.50,12
750,11.50,17.24,1
1000,11.34,17.01,36
1000,2.21,3.31,12
1000,15.54,23.31,36
1750,14.66,21.99,6
750,14.50,21.75,6
1000,11.00,16.50,12
1000,17.25,25.88,12
1000,7.62,11.43,12
750,6.16,9.24,12
1000,9.87,14.80,12
1000,4.05,6.08,12
1000,15.50,23.25,12
1000,7.62,11.43,12
1000,7.62,11.43,12
1000,7.62,11.43,12
1000,7.62,11.43,12
1000,12.50,18.74,24
750,7.70,11.55,12
1750,7.11,10.67,6
1000,7.50,11.25,2
750,6.50,9.74,2
750,5.00,7.49,2
1000,17.61,26.41,2
750,13.17,19.76,1
750,20.84,31.26,2
750,7.00,10.50,2
750,10.01,15.02,1
750,11.49,17.24,2
1000,5.17,7.75,2
750,8.25,12.38,2
750,18.49,27.74,1
750,8.25,12.37,2
1000,4.05,6.08,12
750,6.83,10.25,2
1000,7.50,11.25,2
750,8.83,13.74,2
500,4.74,7.11,1
750,11.45,17.18,2
750,7.54,11.31,2
750,5.74,9.61,2
1750,12.67,20.00,2
375,3.05,4.57,48
750,12.75,19.13,2
200,1.96,2.94,4
200,1.96,2.94,4
750,20.58,30.87,2
1000,5.28,7.91,2
1750,15.33,23.00,6
750,18.75,28.12,2
1750,11.54,17.31,2
750,11.15,16.73,2
750,10.00,15.00,2
750,14.50,21.75,1
750,12.50,18.75,6
750,12.75,19.13,1
750,13.00,19.50,1
750,6.30,9.45,1
1000,2.13,3.19,2
1000,4.72,7.08,6
1000,7.62,11.43,1
750,6.30,9.45,1
750,5.15,7.73,1
750,6.30,9.45,2
1000,7.62,11.43,1
750,6.30,9.45,1
750,17.67,26.51,2
750,27.00,40.50,1
375,7.86,11.79,12
750,23.48,35.22,2
750,28.00,42.00,1
750,10.49,15.73,12
750,32.00,48.00,2
750,8.92,13.38,48
1000,12.08,18.12,12
750,99.49,149.24,12
750,17.50,26.25,12
750,6.16,9.24,2
1000,12.91,19.37,12
750,13.00,19.50,12
750,20.90,31.34,3
375,1.90,2.85,3
750,19.17,28.76,3
750,7.00,10.49,4
750,7.54,11.31,3
750,18.09,27.14,6
375,6.54,9.81,4
500,8.63,12.95,12
750,7.00,10.50,3
750,7.99,11.99,3
750,11.49,17.24,12
750,12.59,18.89,3
750,24.99,37.49,3
750,11.17,16.76,12
750,10.00,14.99,3
750,8.25,12.37,4
200,2.75,4.13,48
375,9.00,13.50,3
750,20.47,30.71,3
750,5.23,7.84,12
500,5.92,8.88,3
750,15.00,22.49,6
750,5.92,8.88,4
750,19.33,28.99,4
375,3.55,5.33,6
375,6.54,9.81,4
750,6.75,10.12,2
750,10.42,15.63,2
750,11.50,17.24,4
1000,9.71,14.56,1
200,3.00,4.49,3
1750,16.28,24.43,6
750,31.00,46.50,3
1000,12.48,18.72,3
750,6.05,9.08,12
750,3.46,5.19,12
750,6.21,9.64,12
750,17.60,26.40,12
750,16.00,24.00,12
1750,8.20,12.30,6
1750,18.94,28.91,6
375,2.00,2.99,24
375,4.76,7.14,24
500,6.83,10.24,3
1750,8.92,13.38,6
750,12.80,19.19,12
200,1.20,1.79,48
750,12.99,19.49,12
750,16.12,24.18,6
750,11.49,17.24,12
1000,8.00,11.99,12
750,13.83,20.75,6
750,18.95,28.43,1
750,25.00,37.50,6
500,8.63,12.95,1
750,16.00,24.00,12
750,26.59,39.89,2
1000,14.99,22.48,12
375,6.50,9.74,2
750,7.33,11.99,1
750,12.00,17.99,12
1000,17.61,26.41,2
600,7.92,11.88,1
1750,10.49,15.74,6
1750,11.99,17.99,6
750,6.49,9.74,12
1000,7.62,11.43,1
750,6.50,9.74,12
1000,3.97,5.95,12
1000,10.24,15.35,3
1000,4.32,6.48,12
1750,6.92,10.38,18
1750,7.17,10.76,24
750,3.37,5.06,12
750,9.50,14.25,12
200,2.50,3.75,8
750,39.00,58.50,2
750,10.00,14.99,12
750,9.65,14.48,12
500,4.74,7.11,2
750,7.50,11.24,12
1750,11.55,17.32,6
750,5.78,8.67,12
750,28.49,42.74,2
500,5.50,8.25,1
750,18.49,27.74,1
750,8.75,13.12,12
375,9.75,14.63,12
750,4.34,6.51,12
200,5.49,8.24,2
750,17.50,26.25,6
750,49.99,74.99,2
750,18.75,28.13,6
750,22.98,34.47,2
750,13.73,20.59,1
1000,17.25,25.87,4
750,27.50,41.24,3
750,20.50,30.75,1
750,10.50,15.75,2
750,10.42,15.63,2
375,6.49,9.74,1
750,9.85,14.78,12
750,19.00,28.50,6
750,13.50,20.25,3
375,6.52,9.78,4
750,23.31,34.96,2
500,8.63,12.95,1
750,18.09,27.14,2
750,12.50,18.75,6
750,12.75,19.13,1
750,6.00,8.99,12
750,5.48,8.22,1
750,4.65,6.97,1
750,5.25,7.87,2
750,7.00,10.49,2
750,4.09,6.14,2
1750,31.50,47.24,2
750,24.99,37.49,6
1750,11.96,17.93,6
1000,6.67,10.00,3
1000,9.71,14.56,2
375,14.00,21.00,1
375,5.50,8.25,3
750,28.50,42.75,1
750,13.60,20.39,1
1000,8.00,11.99,12
1750,27.49,41.24,1
1000,17.99,26.99,4
1750,9.67,14.51,1
1000,4.33,6.50,1
1000,22.04,33.06,1
1000,12.08,18.12,4
1000,3.92,5.88,2
750,6.50,9.74,4
1000,3.97,5.95,12
750,3.37,5.05,2
750,11.49,17.24,2
1000,15.00,22.49,1
1000,15.00,22.49,12
375,2.07,3.11,2
750,8.25,12.37,1
750,3.37,5.06,3
750,6.88,10.82,3
1000,4.05,6.08,12
750,5.38,8.06,3
750,10.01,15.01,1
1750,7.60,11.40,1
750,6.50,9.74,1
1000,6.53,9.80,1
750,6.50,9.74,1
1000,8.93,13.64,3
750,8.25,12.37,2
1000,10.00,14.99,4
750,4.18,6.60,1
750,10.00,14.99,2
750,6.50,9.74,3
750,8.75,13.12,12
1750,11.83,17.74,2
1000,7.28,10.92,1
1000,10.24,15.35,1
1000,11.75,17.62,24
375,9.75,14.63,1
1000,4.34,6.51,12
750,8.75,13.12,1
750,6.30,9.45,1
750,9.25,13.88,1
1000,4.06,6.09,1
750,9.25,13.88,2
1750,7.94,12.51,6
750,6.50,9.74,2
750,7.94,11.91,1
1000,11.00,16.50,2
750,10.00,15.00,2
750,8.67,13.01,1
750,7.94,11.91,2
750,10.42,15.63,2
1000,4.05,6.08,3
750,3.38,5.07,1
1000,6.63,9.94,12
750,11.65,17.47,1
1000,7.62,11.43,1
750,9.97,14.96,6
1000,7.62,11.43,5
1000,12.48,18.72,3
1000,4.65,6.98,1
1000,2.13,3.19,2
750,5.25,7.87,1
375,3.07,4.60,24
1750,8.92,13.38,6
300,6.90,10.35,1
1000,9.71,14.56,2
750,27.00,40.50,1
1750,31.50,47.24,1
375,7.65,11.48,24
1000,18.25,27.37,12
750,14.75,22.13,12
1750,10.50,15.75,1
500,6.83,10.24,1
1750,9.00,13.50,6
750,12.50,18.74,2
1750,13.04,20.19,1
1750,9.67,14.51,2
1000,17.99,26.99,1
1750,7.87,11.80,1
750,6.50,9.74,3
1000,14.99,22.48,5
750,16.79,25.19,2
1750,18.94,28.91,2
1750,27.70,41.55,2
750,18.95,28.43,1
375,6.54,9.81,4
500,8.63,12.95,1
750,3.24,4.99,24
1750,7.33,10.99,1
1000,7.00,10.50,1
1750,7.17,10.76,2
1750,14.75,22.12,6
1750,20.00,29.99,1
1000,15.00,22.49,12
1000,5.17,7.75,1
750,3.31,4.97,2
375,4.75,7.13,4
500,3.73,5.59,12
1750,6.68,10.27,36
1000,5.50,8.25,12
750,3.34,5.01,2
750,4.50,6.75,3
1750,6.92,10.38,6
1000,7.28,10.92,2
1000,4.00,6.00,1
750,5.78,8.67,4
750,6.50,9.74,2
750,6.50,9.74,2
1000,9.25,13.87,1
1750,8.98,13.47,6
500,5.50,8.25,1
750,4.16,6.24,1
375,10.75,16.12,2
1000,10.24,15.35,3
1000,8.93,13.64,12
1750,17.75,26.62,6
200,2.01,3.02,4
1000,11.75,17.62,12
375,5.00,7.50,4
375,3.55,5.33,12
750,4.00,6.00,3
750,13.50,20.25,2
1750,19.25,28.88,6
750,5.92,8.88,1
375,9.75,14.63,4
750,22.07,33.11,1
750,18.49,27.74,1
375,3.55,5.33,12
750,20.58,30.87,1
375,3.55,5.33,3
1750,10.00,14.99,1
1000,11.34,17.01,12
1750,6.50,9.75,1
750,8.98,13.47,3
750,18.56,27.84,2
1000,12.00,17.99,1
750,7.94,11.91,2
750,13.00,19.49,2
750,6.30,9.45,2
750,7.33,11.99,4
1000,15.54,23.31,12
750,12.05,18.08,4
750,12.50,18.75,12
1000,4.05,6.08,12
1750,7.94,12.51,12
1000,11.00,16.50,12
750,8.67,13.01,12
500,4.96,7.44,6
750,6.30,9.45,2
750,10.00,15.00,12
750,17.00,25.49,1
375,2.05,3.07,12
750,10.00,15.00,2
375,3.07,4.61,4
750,6.70,10.05,4
375,3.07,4.61,6
500,4.55,6.83,1
1750,7.08,10.62,6
375,2.28,3.42,4
750,5.25,7.87,3
1750,9.70,14.92,60
1000,7.62,11.43,12
750,6.30,9.45,1
1750,15.75,23.62,6
750,14.04,21.05,2
750,27.00,40.50,3
750,9.85,14.78,3
750,16.79,25.19,2
750,12.30,18.45,3
750,8.98,13.47,24
500,6.83,10.24,1
1750,13.04,20.19,6
750,6.47,9.71,3
750,6.50,9.74,12
1750,7.46,11.19,6
750,12.00,17.99,12
750,3.46,5.19,12
1750,8.92,13.38,6
750,8.18,12.27,12
1750,11.96,17.93,18
1750,7.87,11.80,6
750,7.00,10.49,12
600,20.00,30.00,1
750,3.34,5.01,12
1750,7.20,10.79,6
750,3.37,5.06,12
750,6.50,9.74,12
375,2.07,3.11,24
500,3.73,5.59,12
750,15.17,22.76,6
1000,9.71,14.56,12
1750,7.60,11.40,6
750,6.50,9.75,12
750,6.50,9.74,12
750,3.34,5.01,12
500,4.89,7.34,2
750,5.38,8.07,12
1750,18.52,27.78,6
750,7.52,11.28,3
750,5.78,8.67,12
500,4.89,7.34,1
1750,7.84,11.76,6
500,3.78,5.66,12
750,8.25,12.37,3
750,7.50,11.24,12
750,8.25,12.37,3
500,4.74,7.11,1
1750,7.84,11.76,6
375,9.00,13.50,3
1750,11.55,17.32,6
1000,7.28,10.92,12
1750,8.33,12.49,6
750,7.33,11.49,3
750,10.00,14.99,12
500,4.74,7.11,1
750,15.75,23.63,2
1750,11.83,17.75,6
375,10.08,15.12,12
1750,11.83,17.74,6
750,6.29,9.44,2
500,5.92,8.88,1
750,7.00,10.50,12
375,3.50,5.25,24
750,5.38,8.06,12
1750,7.02,10.53,6
1000,6.53,9.80,12
200,1.78,2.67,24
1000,3.86,6.04,12
1000,6.53,9.80,12
1750,8.20,12.30,6
1750,8.20,12.30,6
750,8.67,13.01,12
750,6.83,10.99,3
1000,11.34,17.01,12
1750,8.07,12.11,6
1000,25.25,37.88,2
750,7.33,11.99,12
1750,15.33,23.00,12
750,3.38,5.07,12
375,7.00,10.50,12
750,16.79,25.19,5
750,8.67,13.01,12
1750,14.66,21.99,6
750,10.42,15.63,6
375,7.42,11.13,12
750,10.42,15.63,6
500,6.62,9.93,2
1000,7.62,11.43,3
750,10.50,15.75,12
750,13.74,20.99,4
750,3.44,5.15,3
750,4.09,6.14,12
750,3.71,5.57,12
750,4.09,6.14,3
750,7.50,11.25,12
375,4.54,6.80,12
375,7.65,11.48,3
750,9.85,14.78,3
750,3.33,4.99,12
750,9.85,14.78,12
750,13.12,19.68,2
375,14.00,21.00,2
750,15.46,23.19,1
1750,8.74,13.36,6
1750,10.99,16.49,6
500,8.91,13.36,3
750,4.18,6.60,3
750,13.12,19.68,6
750,3.32,4.98,5
750,19.17,28.76,2
750,11.17,16.76,5
750,10.49,15.73,12
1750,9.44,14.16,6
1750,6.68,10.27,6
750,10.00,15.00,12
750,8.25,12.37,12
750,6.50,9.74,12
200,2.75,4.13,48
1750,10.99,16.49,300
375,3.05,4.57,4
750,8.25,12.37,3
1000,2.21,3.31,5
750,6.50,9.74,5
375,3.22,4.83,4
750,7.50,11.24,3
750,17.50,26.25,6
375,4.31,6.47,5
750,19.99,29.99,1
1750,7.08,10.62,6
750,18.75,28.12,2
1750,6.50,9.75,6
500,8.87,13.31,4
750,23.31,34.96,1
750,12.50,18.75,6
750,7.70,11.55,5
750,6.21,9.64,12
1750,31.50,47.24,6
1000,18.25,27.37,24
750,11.17,16.76,12
750,12.05,18.08,12
200,3.94,5.91,48
1750,11.80,17.70,6
750,24.67,37.01,6
750,13.74,20.99,24
1000,6.63,9.94,36
1750,12.08,18.12,6
750,6.16,9.24,6
1750,27.49,41.24,6
1000,15.99,23.99,12
375,6.74,10.11,3
1000,4.72,7.08,12
1750,13.04,20.19,6
750,8.25,12.37,1
1750,17.75,26.62,18
750,10.49,15.74,24
1750,11.96,17.93,12
1000,22.04,33.06,24
750,14.54,21.81,6
1000,12.08,18.12,60
1000,16.87,25.31,12
1750,8.74,13.36,6
1000,8.00,11.99,12
1000,4.94,7.41,24
1750,8.92,13.38,12
375,3.50,5.25,6
750,12.99,19.49,12
1000,7.08,10.62,12
1000,4.33,6.50,12
1000,17.61,26.41,12
375,6.54,9.81,6
375,3.39,5.09,24
750,9.26,14.39,12
750,18.09,27.14,24
750,12.59,18.89,6
750,25.00,37.50,6
750,11.17,16.76,12
750,12.50,18.74,6
750,16.17,24.25,6
1000,14.99,22.48,24
1750,11.54,17.31,6
1000,4.38,6.57,12
1000,3.92,5.88,12
1750,11.00,16.49,6
750,5.00,7.49,12
750,6.49,9.74,12
750,11.49,17.24,12
1000,7.49,11.24,12
1000,16.80,25.19,12
750,7.86,11.79,12
1000,15.00,22.49,12
1000,15.00,22.49,24
750,11.49,17.24,12
1750,12.08,18.12,6
1000,16.80,25.19,12
600,20.00,30.00,1
1000,15.00,22.49,12
750,8.25,12.38,12
750,7.86,11.79,12
1000,16.80,25.19,12
1000,16.80,25.19,12
200,1.13,1.69,48
750,13.73,20.59,12
750,7.86,11.79,12
1750,7.47,11.21,6
750,6.88,10.82,6
1750,8.79,13.69,6
1000,3.97,5.95,48
1750,10.99,16.49,6
750,11.17,16.76,12
1000,4.13,6.20,24
750,3.37,5.06,12
1000,4.17,6.25,12
1750,7.04,10.56,6
500,3.73,5.59,12
1000,4.32,6.48,12
1000,4.05,6.08,12
1000,11.00,16.50,2
750,3.64,5.45,12
750,6.90,10.35,12
750,8.25,12.37,12
1750,6.92,10.38,6
1000,4.29,6.44,48
750,10.04,15.06,6
1750,10.99,16.49,6
750,6.50,9.74,12
750,9.65,14.48,12
750,8.25,12.37,6
1000,9.25,13.87,36
200,2.75,4.13,6
750,10.49,15.74,3
1000,11.92,17.88,36
750,6.90,10.35,12
750,6.90,10.35,12
750,6.50,9.74,12
750,10.00,14.99,12
1000,7.50,11.25,12
375,4.31,6.47,6
750,10.50,15.75,12
750,6.50,9.74,12
750,6.50,9.74,12
200,5.49,8.24,24
1000,10.00,14.99,12
750,7.54,11.31,12
750,7.50,11.24,12
750,7.49,11.24,3
1000,8.93,13.64,3
1750,11.55,17.32,6
750,7.54,11.31,12
750,7.54,11.31,12
750,8.75,13.12,3
1000,10.24,15.35,12
750,39.07,58.61,6
750,8.50,12.74,3
1000,4.89,7.33,12
375,5.00,7.50,24
1750,17.75,26.62,12
1000,11.75,17.62,60
1000,4.34,6.51,12
1000,11.78,17.67,12
1750,10.50,15.75,12
750,6.83,10.25,12
1000,4.34,6.51,12
750,9.65,14.48,12
1000,4.45,6.68,12
1750,7.84,11.76,6
750,5.92,8.88,12
1000,4.50,6.75,12
375,3.22,4.83,6
750,7.00,10.50,3
750,34.99,52.49,3
1750,13.32,19.98,6
375,3.05,4.57,24
1000,11.00,16.50,12
1000,6.67,10.00,12
1750,8.20,12.30,12
1000,6.94,10.41,12
1750,11.83,17.75,6
1000,5.86,8.79,6
1750,8.24,12.36,6
1750,11.00,16.50,6
750,5.48,8.22,12
1000,11.00,16.50,12
1750,7.02,10.53,6
1000,11.34,17.01,72
750,6.29,9.44,6
750,10.49,15.74,3
750,6.29,9.44,12
750,14.92,22.38,3
750,22.67,34.00,3
1000,15.54,23.31,60
1000,11.00,16.50,24
750,8.25,12.37,4
1200,29.53,44.30,1
750,7.33,11.99,12
1000,9.77,14.65,12
750,11.02,16.53,24
2400,28.71,43.07,4
750,9.25,13.88,3
375,3.07,4.61,3
1000,15.50,23.25,12
750,6.94,10.91,6
750,12.07,18.10,6
750,11.54,17.31,3
1750,24.34,36.51,6
500,8.87,13.31,1
750,7.33,11.99,1
750,7.94,11.91,3
750,7.50,11.25,3
750,26.00,39.00,6
1000,4.05,6.08,24
750,10.42,15.63,6
1000,4.06,6.09,12
750,11.44,17.16,12
750,3.71,5.57,12
750,10.00,15.00,6
1750,20.25,30.37,6
1000,7.62,11.43,6
1000,2.21,3.31,60
750,6.30,9.45,12
750,4.93,7.39,3
750,6.77,10.15,3
750,4.09,6.14,3
750,5.15,7.73,3
750,4.87,7.55,12
750,10.49,15.73,12
1000,3.75,5.62,12
750,3.33,4.99,12
375,5.50,8.25,3
750,9.85,14.78,3
200,2.51,3.77,6
500,4.71,7.07,2
1000,7.15,10.73,12
1000,6.69,10.04,12
750,27.00,40.50,12
750,7.52,11.27,12
1750,10.68,16.26,6
750,9.99,14.99,6
750,28.50,42.75,6
1000,6.67,10.00,144
750,18.67,28.01,12
750,23.48,35.22,6
750,15.00,22.50,6
750,8.25,12.37,24
750,19.50,29.24,6
1750,11.02,16.53,6
750,14.90,22.35,3
750,12.50,18.75,6
1750,7.46,11.19,6
1000,15.74,23.61,12
1750,10.50,15.75,6
750,9.99,14.99,12
750,6.75,10.12,2
750,17.50,26.25,12
1750,10.50,15.74,6
750,6.96,10.44,12
1750,17.75,26.62,24
750,12.99,19.49,3
1000,5.00,7.50,12
750,13.74,20.99,12
750,6.05,9.08,12
750,10.83,16.25,2
750,6.38,9.57,12
750,16.79,25.19,12
750,14.04,21.05,12
750,12.80,19.19,12
750,12.50,18.74,2
750,12.64,19.46,12
750,11.03,16.55,4
750,10.99,16.49,12
750,7.95,11.93,12
1750,7.33,10.99,6
750,3.46,5.19,12
1750,9.30,14.45,6
1750,7.11,10.67,6
750,5.00,7.49,12
750,11.49,17.24,1
750,11.49,17.24,12
750,6.90,10.35,12
750,3.64,5.45,12
750,8.25,12.38,12
1750,9.68,14.52,6
1750,14.75,22.13,6
750,11.17,16.76,2
750,5.26,7.89,12
1750,7.20,10.79,6
1750,8.79,13.69,6
1750,7.17,10.76,18
750,5.38,8.07,12
750,3.34,5.01,24
750,6.88,10.82,6
750,6.90,10.35,24
1750,7.60,11.40,12
1750,10.99,16.49,6
1750,6.92,10.38,6
750,8.25,12.37,1
750,8.25,12.37,2
750,8.25,12.37,1
750,8.25,12.37,1
750,11.00,16.50,3
750,8.25,12.37,1
750,8.25,12.37,4
750,8.25,12.37,2
750,8.25,12.37,1
750,8.25,12.37,3
750,8.25,12.37,3
750,6.50,9.74,3
750,8.25,12.37,2
750,6.50,9.74,4
750,7.54,11.31,12
750,8.83,13.74,6
750,8.25,12.37,1
750,8.75,13.12,36
750,8.25,12.37,2
750,7.54,11.31,24
750,8.49,12.74,2
750,5.78,8.67,12
750,7.50,11.24,12
750,10.00,14.99,5
750,6.50,9.74,12
750,7.54,11.31,12
750,7.33,11.49,3
750,7.33,11.49,1
750,7.33,11.50,1
1750,12.67,20.00,6
750,7.33,11.49,12
750,7.33,11.49,3
750,8.75,13.13,12
750,9.65,14.48,12
750,33.60,50.39,1
1750,5.98,9.47,6
1750,7.84,11.76,6
1750,7.84,11.76,6
750,7.94,11.91,3
750,6.30,9.45,1
750,18.49,27.74,3
750,5.48,8.22,3
750,18.49,27.74,12
750,9.90,15.85,3
750,20.50,30.75,4
750,7.00,10.50,4
750,5.70,8.55,1
750,5.92,8.88,1
750,8.83,13.74,1
1750,8.20,12.30,6
750,6.30,9.45,1
750,4.62,6.92,2
750,8.98,13.47,12
750,6.42,9.62,2
750,18.56,27.84,1
750,6.29,9.44,12
750,11.49,17.99,12
750,12.50,18.75,6
1750,20.75,32.99,2
750,9.75,15.74,24
750,8.67,13.01,2
750,13.00,19.49,24
750,7.70,11.55,3
2400,28.71,43.07,4
750,6.30,9.45,4
750,15.46,23.19,3
1750,7.08,10.62,6
750,8.25,12.37,2
750,8.84,13.51,4
750,3.44,5.15,5
750,4.18,6.60,12
750,6.30,9.45,12
750,9.85,14.78,12
1750,11.96,17.93,6
750,6.30,9.45,1
750,6.30,9.45,4
750,4.87,7.55,12
750,4.09,6.14,2
750,14.04,21.05,12
750,3.75,5.63,2
750,7.00,10.49,12
750,18.67,28.01,2
1750,9.00,13.50,6
1750,20.25,30.37,6
1750,7.94,12.51,6
750,10.00,15.00,4
750,5.23,7.84,12
375,3.07,4.60,24
750,4.20,6.30,12
1750,7.46,11.19,6
750,15.23,22.85,12
1750,11.80,17.70,6
750,3.46,5.19,12
1750,8.92,13.38,6
750,3.46,5.19,12
750,12.99,19.49,12
1750,27.70,41.55,6
1750,7.17,10.76,24
375,8.48,12.72,12
1750,9.99,14.99,6
750,18.09,27.14,6
1750,11.99,17.99,6
750,10.00,15.00,6
1750,11.83,17.74,2
1750,16.00,23.99,6
750,3.34,5.01,12
750,8.25,12.37,12
750,8.25,12.38,12
1750,10.00,15.00,6
375,2.07,3.11,24
1750,8.79,13.69,6
1750,7.20,10.79,6
750,3.37,5.06,12
1750,8.50,12.75,6
750,3.31,4.97,12
1750,14.97,22.46,6
1750,7.47,11.21,6
750,3.57,5.35,12
750,6.90,10.35,12
1750,10.99,16.49,306
750,6.50,9.74,12
750,8.25,12.37,12
750,8.25,12.37,12
1750,7.11,10.67,6
1000,4.42,6.63,12
750,6.90,10.35,12
1750,14.75,22.12,6
750,6.90,10.35,12
750,6.90,10.35,4
375,6.35,9.52,2
750,4.18,6.60,12
200,1.96,2.94,24
750,6.90,10.35,12
750,8.25,12.37,12
750,6.50,9.74,12
750,6.50,9.74,12
750,10.42,15.63,6
1000,7.28,10.92,12
750,13.73,20.59,12
750,7.50,11.24,12
750,10.00,14.99,12
750,18.49,27.74,12
750,6.83,10.25,12
1000,4.34,6.51,12
1750,7.84,11.76,6
750,5.38,8.06,3
750,5.38,8.06,12
750,23.31,34.96,2
1750,6.50,9.75,6
750,10.42,15.63,6
750,18.56,27.84,3
1750,15.33,23.00,6
750,8.98,13.47,12
750,18.75,28.12,2
750,13.00,19.49,2
750,10.00,15.00,12
750,12.50,18.74,6
750,8.83,13.74,6
500,6.62,9.93,6
750,9.75,15.74,12
750,6.94,10.91,12
375,7.42,11.13,12
750,4.09,6.14,12
750,3.38,5.07,12
600,4.96,7.44,1
750,6.30,9.45,12
750,10.00,15.00,6
750,6.30,9.45,12
1750,11.54,17.31,6
750,13.64,20.46,2
750,14.04,21.05,12
1750,10.00,14.99,1
